rank;Youtuber;subscribers;video views;category;Title;uploads;Country;Abbreviation;channel_type;video_views_for_the_last_30_days;lowest_monthly_earnings;highest_monthly_earnings;lowest_yearly_earnings;highest_yearly_earnings;subscribers_for_last_30_days;created_year;created_month;created_date;Gross tertiary education enrollment (%)
168;Spinnin' Records;30100000;19607009165.00;Music;Spinnin' Records;11501.00;Netherlands;NL;Music;100040000;25000;400200;300100;4800000;100000;2007;Jul;12;85
819;Geo News;13800000;5727888539.00;News & Politics;Geo News;190093.00;Pakistan;PK;News;100053000;25000;400200;300200;4800000;100000;2007;Jan;10;9
510;DeGoBooM;17600000;6306204566.00;Gaming;DeGoBooM;4702.00;Chile;CL;Games;100215000;25100;400900;300600;4800000;500000;2014;Feb;1;88.5
116;Geet MP3;34300000;12746535822.00;Music;Geet MP3;679.00;India;IN;Music;101357000;25300;405400;304100;4900000;100000;2016;Oct;22;28.1
450;CKN;18700000;12295637162.00;Entertainment;cKn;16.00;Spain;ES;Music;102;3;41;31;5;1;2005;Sep;26;88.9
200;Crazy XYZ;27300000;7705492350.00;Entertainment;Crazy XYZ;1259.00;India;IN;Tech;102235000;25600;408900;306700;4900000;100000;2017;Sep;10;28.1
686;THE BROWN SIBLINGS;15000000;8658553456.00;Entertainment;THE BROWN SIBLINGS;965.00;India;IN;Entertainment;102357000;25600;409400;307100;4900000;200000;2016;Oct;9;28.1
438;Calvin Harris;19000000;16014044618.00;Music;Calvin Harris;79.00;United Kingdom;GB;Music;102410000;25600;409600;307200;4900000;100000;2007;Feb;11;60
452;Shemaroo Comedy;18600000;6047584292.00;Entertainment;Shemaroo Comedy;4487.00;India;IN;Comedy;102431000;25600;409700;307300;4900000;200000;2007;Jan;31;28.1
492;MGC Playhouse;17900000;16174530046.00;Shows;MGC Playhouse;1426.00;United States;US;Education;102621000;25700;410500;307900;4900000;100000;2009;Feb;3;88.2
344;Becky G;21300000;10644857969.00;Music;Becky G;78.00;United States;US;Music;103171000;25800;412700;309500;5000000;100000;2011;Sep;6;88.2
226;Nicki Minaj;25700000;10242981063.00;Music;Nicki Minaj;42.00;United States;US;Music;103631000;25900;414500;310900;5000000;100000;2013;Aug;28;88.2
212;Alan Chikin Chow;26400000;27006526665.00;Comedy;Alan Chikin Chow;865.00;United States;US;Comedy;1046000000;261500;4200000;3100000;50200000;1300000;2020;Feb;3;88.2
773;SIS vs BRO;14200000;6973932553.00;Entertainment;SiS;60.00;Ukraine;UA;Entertainment;105;3;42;32;5;10;2016;Aug;3;82.7
550;CoryxKenshin;16700000;7102965621.00;Gaming;CoryxKenshin;1693.00;United States;US;Games;105114000;26300;420500;315300;5000000;200000;2009;Apr;27;88.2
436;Wow Kidz Action;19000000;8281724393.00;Film & Animation;Wow Kidz Action;1525.00;India;IN;Entertainment;105706000;26400;422800;317100;5100000;200000;2017;Nov;8;28.1
398;5-Minute Crafts PLAY;20100000;6119294270.00;Howto & Style;5-Minute Crafts PLAY;5491.00;United States;US;Howto;105784000;26400;423100;317400;5100000;100000;2017;Oct;30;88.2
657;T-Series Hamaar Bhojpuri;15200000;7564652648.00;Entertainment;T-Series Hamaar Bhojpuri;9862.00;India;IN;Music;105978000;26500;423900;317900;5100000;200000;2011;Nov;1;28.1
803;Jazzghost;13900000;5673347763.00;Gaming;Jazzghost;5494.00;Brazil;BR;Games;106718000;26700;426900;320200;5100000;100000;2012;Aug;30;51.3
836;JOJO TV - Hindi Stories;13600000;5141201173.00;Education;JOJO TV - Hindi Stories;1097.00;India;IN;Film;10764000;2700;43100;32300;516700;100000;2016;Dec;25;28.1
906;GH'S;13000000;8739174649.00;Gaming;GH'S;510.00;South Korea;KR;Games;1081000000;270300;4300000;3200000;51900000;1000000;2020;Jul;7;94.3
449;Triggered Insaan;18800000;3276891538.00;Comedy;Triggered Insaan;304.00;India;IN;People;109026000;27300;436100;327100;5200000;700000;2014;Jul;17;28.1
144;MR. INDIAN HACKER;31700000;5711208484.00;Science & Technology;MR. INDIAN HACKER;929.00;India;IN;Tech;109125000;27300;436500;327400;5200000;500000;2012;Jun;21;28.1
847;Vijay Kumar Viner Vlogs;13500000;7958771872.00;Entertainment;Vijay Kumar Viner Vlogs;1357.00;India;IN;Entertainment;109813000;27500;439300;329400;5300000;300000;2019;Mar;22;28.1
180;infobells - Tamil;28900000;17930570614.00;Education;infobells - Tamil;555.00;India;IN;Education;109828000;27500;439300;329500;5300000;200000;2014;Mar;13;28.1
514;Fun For Kids TV - Hindi Rhymes;17500000;7612385622.00;Entertainment;Fun For Kids TV - Hindi Rhymes;149.00;India;IN;Entertainment;109847000;27500;439400;329500;5300000;300000;2017;Sep;27;28.1
732;O Reino Infantil;14600000;11182302317.00;Music;O Reino Infantil;1206.00;Brazil;BR;Music;109865000;27500;439500;329600;5300000;100000;2014;Aug;19;51.3
417;tabii Urdu;19600000;8779729549.00;Entertainment;tabii Urdu;1306.00;Turkey;TR;Entertainment;110806000;27700;443200;332400;5300000;100000;2020;Apr;17;23.9
956;First We Feast;12500000;2983799729.00;Howto & Style;First We Feast;1076.00;United States;US;Entertainment;111252000;27800;445000;333800;5300000;200000;2014;Feb;28;88.2
319;Charlie Puth;22000000;9924807127.00;Music;Charlie Puth;157.00;United States;US;Music;111500000;27900;446000;334500;5400000;100000;2009;Sep;9;88.2
37;Marshmello;56400000;14696003229.00;Entertainment;Marshmello;436.00;United States;US;Music;112100000;28000;448400;336300;5400000;100000;2015;Apr;6;88.2
145;Worldwide Records Bhojpuri;31700000;16476978876.00;Music;Worldwide Records Bhojpuri;6518.00;India;IN;Music;112648000;28200;450600;337900;5400000;200000;2012;Mar;15;28.1
384;BabyBus - Cerita & Lagu Anak-anak;20300000;11819051552.00;Education;BabyBus - Cerita & Lagu Anak-anak;875.00;Indonesia;ID;Education;112768000;28200;451100;338300;5400000;100000;2019;Jan;14;36.3
563;FailArmy;16500000;3037260680.00;Comedy;FailArmy;438.00;United States;US;Entertainment;112986000;28200;451900;339000;5400000;100000;2011;Jul;5;88.2
690;KOMPASTV;15000000;11827310821.00;News & Politics;KOMPASTV;269050.00;Indonesia;ID;News;113064000;28300;452300;339200;5400000;100000;2013;Aug;23;36.3
388;Kiddiestv Hindi - Nursery Rhymes & Kids Songs;20200000;7274150246.00;Education;Kiddiestv Hindi - Nursery Rhymes & Kids Songs;226.00;India;IN;Education;113420000;28400;453700;340300;5400000;300000;2017;May;25;28.1
